user_id,name,email,course_id,course_title,steps_completed,steps_total,course_completed,course_completed_on,course_started_on,course_total_time_on,course_last_step_id,course_last_step_type,course_last_step_title,last_login_date
33,33,33,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,3/4/2019,2/18/2019,13d 19h 46m 34s,13826,Lesson,1.4 Thoughts on Life,7/17/2019
33,33,33,3722,Resources,0,3,NO,,4/2/2019,,3902,Lesson,World Science Scholars Program Orientation,7/17/2019
33,33,33,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,7/17/2019
33,33,33,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,7/17/2019
34,34,34,1613,A Beautiful Universe: Cumrun Vafa,60,60,YES,12/18/2018,12/6/2018,32d 15h 11m 34s,5126,Quiz,1.6 Puzzle: Designing a Highway System  Idea Generation,8/13/2019
34,34,34,15362,A Galactic Mystery: Justin Khoury,22,28,NO,,4/15/2019,78d 5m 30s,18090,Lesson,2.5 Headlines,8/13/2019
34,34,34,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/13/2019
34,34,34,2301,Beyond the Cloud of Everyday Experience: Brian Greene,67,67,YES,11/14/2018,10/23/2018,21d 15h 26m 19s,4714,Lesson,3.18 String Theory,8/13/2019
34,34,34,15609,Einstein's Astrophysical Messengers: Gabriela González,31,31,YES,7/26/2019,6/30/2019,25d 21h 8m 47s,18210,Lesson,2.15 Gabriela González QA,8/13/2019
34,34,34,11236,Life as the Next Frontier in Physics: Sara Walker,45,45,YES,4/14/2019,3/4/2019,41d 3h 49m 26s,15520,Lesson,Live Session 1: Sara Walker,8/13/2019
34,34,34,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/18/2019,2/18/2019,30m 47s,13826,Lesson,1.4 Thoughts on Life,8/13/2019
34,34,34,3722,Resources,0,3,NO,,,,,,,8/13/2019
34,34,34,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/13/2019
34,34,34,18395,The Universe's Hierarchy: George F.R. Ellis,18,32,NO,,7/26/2019,18d 17h 50m 7s,18638,Lesson,2.11 Hierarchy of Structure and Causation,8/13/2019
35,35,35,1613,A Beautiful Universe: Cumrun Vafa,60,60,YES,3/25/2019,12/29/2018,85d 5h 56m 11s,9742,Lesson,3.3 Comparison Between Dimensions,8/5/2019
35,35,35,15362,A Galactic Mystery: Justin Khoury,1,28,NO,,5/29/2019,18h 10m 25s,15568,Lesson,1.1 The Case for Dark Matter,8/5/2019
35,35,35,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/5/2019
35,35,35,2301,Beyond the Cloud of Everyday Experience: Brian Greene,67,67,YES,3/25/2019,10/31/2018,144d 22h 56m 56s,4714,Lesson,3.18 String Theory,8/5/2019
35,35,35,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,8/5/2019
35,35,35,11236,Life as the Next Frontier in Physics: Sara Walker,45,45,YES,5/30/2019,3/20/2019,71d 9h 56m 53s,17610,Lesson,Live Session 2:  Sara Walker,8/5/2019
35,35,35,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/27/2019,2/18/2019,8d 8h 33m 25s,13826,Lesson,1.4 Thoughts on Life,8/5/2019
35,35,35,3722,Resources,3,3,YES,2/19/2019,12/29/2018,51d 22h 40m 30s,3789,Lesson,Meet the Scholars,8/5/2019
35,35,35,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/5/2019
35,35,35,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,8/5/2019
36,36,36,1613,A Beautiful Universe: Cumrun Vafa,34,60,NO,,12/6/2018,38d 20h 49m 41s,2467,Lesson,3.9 Questions on A Beautiful Universe,8/6/2019
36,36,36,15362,A Galactic Mystery: Justin Khoury,1,28,NO,,4/16/2019,22m 43s,15568,Lesson,1.1 The Case for Dark Matter,8/6/2019
36,36,36,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/6/2019
36,36,36,2301,Beyond the Cloud of Everyday Experience: Brian Greene,47,67,NO,,11/10/2018,4d 5m 33s,4713,Quiz,3.18 String Theory,8/6/2019
36,36,36,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,8/6/2019
36,36,36,11236,Life as the Next Frontier in Physics: Sara Walker,35,45,NO,,3/5/2019,23d 42m 40s,12114,Lesson,3.7 Signatures of Life,8/6/2019
36,36,36,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/10/2019,2/10/2019,23m 47s,13826,Lesson,1.4 Thoughts on Life,8/6/2019
36,36,36,3722,Resources,0,3,NO,,,,,,,8/6/2019
36,36,36,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/6/2019
36,36,36,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,8/6/2019
133,133,133,18947,Beyond the Cloud of Everyday Experience: Brian Greene 2019,0,66,NO,,,,,,,7/2/2019
133,133,133,19780,Resources '19,0,4,NO,,7/2/2019,,19787,Lesson,Meet the 2018 Scholars,7/2/2019
37,37,37,1613,A Beautiful Universe: Cumrun Vafa,55,60,NO,,12/22/2018,4d 23h 48m 17s,2469,Lesson,3.12 Black Hole Thermodynamics,8/4/2019
37,37,37,15362,A Galactic Mystery: Justin Khoury,1,28,NO,,,,17536,Lesson,1.16 Observational Signatures,8/4/2019
37,37,37,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/4/2019
37,37,37,2301,Beyond the Cloud of Everyday Experience: Brian Greene,67,67,YES,12/31/2018,11/11/2018,50d 4h 19m 27s,11950,Lesson,Live Session with Professor Brian Greene,8/4/2019
37,37,37,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,8/4/2019
37,37,37,11236,Life as the Next Frontier in Physics: Sara Walker,39,45,NO,,3/4/2019,24d 1h 7m 27s,12114,Lesson,3.7 Signatures of Life,8/4/2019
37,37,37,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,3/4/2019,2/25/2019,7d 19m 40s,13826,Lesson,1.4 Thoughts on Life,8/4/2019
37,37,37,3722,Resources,0,3,NO,,,,,,,8/4/2019
37,37,37,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/4/2019
37,37,37,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,8/4/2019
38,38,38,1613,A Beautiful Universe: Cumrun Vafa,9,60,NO,,1/16/2019,61d 7h 20m 3s,2263,Quiz,1.14 Continuity,3/21/2019
38,38,38,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,3/21/2019
38,38,38,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,3/21/2019
38,38,38,2301,Beyond the Cloud of Everyday Experience: Brian Greene,41,67,NO,,11/19/2018,58d 39m 21s,3078,Quiz,3.8 New View of Reality,3/21/2019
38,38,38,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,3/21/2019
38,38,38,11236,Life as the Next Frontier in Physics: Sara Walker,1,45,NO,,3/21/2019,8m 40s,15850,Lesson,What Is Life? Project,3/21/2019
38,38,38,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,0,5,NO,,,,,,,3/21/2019
38,38,38,3722,Resources,0,3,NO,,,,,,,3/21/2019
38,38,38,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,3/21/2019
38,38,38,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,3/21/2019
39,39,39,1613,A Beautiful Universe: Cumrun Vafa,57,60,NO,,12/8/2018,55d 23h 42m 7s,14083,Lesson,Live Session: Cumrun Vafa,7/29/2019
39,39,39,15362,A Galactic Mystery: Justin Khoury,28,28,YES,6/9/2019,6/9/2019,1h 15m 16s,18245,Lesson,3.3 End of Course Survey,7/29/2019
39,39,39,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,7/29/2019
39,39,39,2301,Beyond the Cloud of Everyday Experience: Brian Greene,56,67,NO,,10/27/2018,19d 14h 19m 50s,2619,Lesson,3.22 String Theory,7/29/2019
39,39,39,15609,Einstein's Astrophysical Messengers: Gabriela González,31,31,YES,7/5/2019,7/5/2019,48m 50s,18578,Lesson,3.3 End of Course Survey,7/29/2019
39,39,39,11236,Life as the Next Frontier in Physics: Sara Walker,35,45,NO,,3/4/2019,13d 16h 27m 11s,14219,Lesson,3.3 Other Signatures?,7/29/2019
39,39,39,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/10/2019,2/10/2019,10m 47s,13826,Lesson,1.4 Thoughts on Life,7/29/2019
39,39,39,3722,Resources,0,3,NO,,,,,,,7/29/2019
39,39,39,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,7/29/2019
39,39,39,18395,The Universe's Hierarchy: George F.R. Ellis,14,32,NO,,7/20/2019,9d 19h 57m 41s,18632,Lesson,2.7 What Constitutes Life?,7/29/2019
134,134,134,18947,Beyond the Cloud of Everyday Experience: Brian Greene 2019,29,66,NO,,7/27/2019,15d 11h 29m 8s,19004,Lesson,3.2 What Would You Like to Learn?,8/11/2019
134,134,134,19780,Resources '19,0,4,NO,,7/2/2019,,19788,Lesson,Meet the 2019 Scholars,8/11/2019
135,135,135,18947,Beyond the Cloud of Everyday Experience: Brian Greene 2019,0,66,NO,,,,,,,8/1/2019
135,135,135,19780,Resources '19,2,4,NO,,7/9/2019,6m 8s,19788,Lesson,Meet the 2019 Scholars,8/1/2019
40,40,40,1613,A Beautiful Universe: Cumrun Vafa,53,60,NO,,12/10/2018,184d 14h 54m 41s,14083,Lesson,Live Session: Cumrun Vafa,8/12/2019
40,40,40,15362,A Galactic Mystery: Justin Khoury,24,28,NO,,5/29/2019,74d 11h 54m 4s,18173,Lesson,3.2 Live Session: Justin Khoury,8/12/2019
40,40,40,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/12/2019
40,40,40,2301,Beyond the Cloud of Everyday Experience: Brian Greene,59,67,NO,,10/23/2018,57d 13h 55m 34s,6246,Lesson,2.18 General Relativity,8/12/2019
40,40,40,15609,Einstein's Astrophysical Messengers: Gabriela González,27,31,NO,,8/4/2019,8d 5h 35m 43s,18192,Lesson,3.2 Live Session: Gabriela González,8/12/2019
40,40,40,11236,Life as the Next Frontier in Physics: Sara Walker,39,45,NO,,3/22/2019,68d 2h 58m 25s,12114,Lesson,3.7 Signatures of Life,8/12/2019
40,40,40,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/16/2019,2/11/2019,4d 23h 57m 51s,13826,Lesson,1.4 Thoughts on Life,8/12/2019
40,40,40,3722,Resources,0,3,NO,,,,,,,8/12/2019
40,40,40,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/12/2019
40,40,40,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,8/12/2019
30,30,30,1613,A Beautiful Universe: Cumrun Vafa,0,60,NO,,,,,,,12/4/2018
30,30,30,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,12/4/2018
30,30,30,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,12/4/2018
30,30,30,2301,Beyond the Cloud of Everyday Experience: Brian Greene,2,67,NO,,10/25/2018,3m 24s,2739,Quiz,1.6 Essentials of Special Relativity,12/4/2018
30,30,30,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,12/4/2018
30,30,30,11236,Life as the Next Frontier in Physics: Sara Walker,0,45,NO,,,,,,,12/4/2018
30,30,30,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,0,5,NO,,,,,,,12/4/2018
30,30,30,3722,Resources,0,3,NO,,,,,,,12/4/2018
30,30,30,3967,Special Relativity – World Science U,0,359,NO,,9/28/2018,,632,Lesson,1.1 Scale Video,12/4/2018
30,30,30,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,12/4/2018
30,30,30,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,12/4/2018
163,163,163,1613,A Beautiful Universe: Cumrun Vafa,0,60,NO,,7/12/2019,,5138,Lesson,1.4 The Symmetry Principle,7/18/2019
163,163,163,2301,Beyond the Cloud of Everyday Experience: Brian Greene,0,67,NO,,7/12/2019,,6328,Lesson,3.1 Module Overview,7/18/2019
163,163,163,11236,Life as the Next Frontier in Physics: Sara Walker,1,45,NO,,7/12/2019,5d 16h 48m,14219,Lesson,3.3 Other Signatures?,7/18/2019
163,163,163,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,1,5,NO,,7/13/2019,7m 34s,12089,Lesson,1.2 What is Life?,7/18/2019
41,41,41,1613,A Beautiful Universe: Cumrun Vafa,48,60,NO,,12/18/2018,20d 22h 22m 43s,5126,Quiz,1.6 Puzzle: Designing a Highway System  Idea Generation,8/6/2019
41,41,41,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,8/6/2019
41,41,41,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,8/6/2019
41,41,41,2301,Beyond the Cloud of Everyday Experience: Brian Greene,51,67,NO,,11/9/2018,23d 3h 6m 15s,2619,Lesson,3.22 String Theory,8/6/2019
41,41,41,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,8/6/2019
41,41,41,11236,Life as the Next Frontier in Physics: Sara Walker,39,45,NO,,3/18/2019,22d 1h 30m 12s,15520,Lesson,Live Session 1: Sara Walker,8/6/2019
41,41,41,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,3/4/2019,2/18/2019,13d 20h 38m 24s,14171,Lesson,1.3 Sara Walker QA,8/6/2019
41,41,41,3722,Resources,0,3,NO,,,,,,,8/6/2019
41,41,41,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,8/6/2019
41,41,41,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,8/6/2019
76,76,76,1613,A Beautiful Universe: Cumrun Vafa,7,60,NO,,10/2/2018,44d 2h 43m 6s,2263,Quiz,1.14 Continuity,4/16/2019
76,76,76,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,4/16/2019
76,76,76,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,4/16/2019
76,76,76,2301,Beyond the Cloud of Everyday Experience: Brian Greene,10,67,NO,,10/3/2018,14d 23h 40m 50s,6304,Lesson,2.10 Testing Einstein,4/16/2019
76,76,76,18947,Beyond the Cloud of Everyday Experience: Brian Greene 2019,0,66,NO,,,,,,,4/16/2019
76,76,76,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,4/16/2019
76,76,76,11236,Life as the Next Frontier in Physics: Sara Walker,0,45,NO,,,,,,,4/16/2019
76,76,76,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,2,5,NO,,2/15/2019,7s,12089,Lesson,1.2 What is Life?,4/16/2019
76,76,76,3722,Resources,1,3,NO,,10/1/2018,41s,3902,Lesson,World Science Scholars Program Orientation,4/16/2019
76,76,76,19780,Resources '19,0,4,NO,,,,,,,4/16/2019
76,76,76,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,4/16/2019
76,76,76,16503,The Test Course,0,21,NO,,,,,,,4/16/2019
76,76,76,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,4/16/2019
42,42,42,1613,A Beautiful Universe: Cumrun Vafa,18,60,NO,,12/26/2018,2d 23h 20m,7326,Lesson,2.3 Geometry,7/24/2019
42,42,42,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,7/24/2019
42,42,42,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,7/24/2019
42,42,42,2301,Beyond the Cloud of Everyday Experience: Brian Greene,51,67,NO,,11/4/2018,53d 14h 45m 59s,11950,Lesson,Live Session with Professor Brian Greene,7/24/2019
42,42,42,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,7/24/2019
42,42,42,11236,Life as the Next Frontier in Physics: Sara Walker,0,45,NO,,,,,,,7/24/2019
42,42,42,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,0,5,NO,,,,,,,7/24/2019
42,42,42,3722,Resources,0,3,NO,,,,,,,7/24/2019
42,42,42,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,7/24/2019
42,42,42,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,7/24/2019
43,43,43,1613,A Beautiful Universe: Cumrun Vafa,48,60,NO,,12/15/2018,24d 11h 26m 54s,5126,Quiz,1.6 Puzzle: Designing a Highway System  Idea Generation,7/31/2019
43,43,43,15362,A Galactic Mystery: Justin Khoury,25,28,NO,,7/20/2019,11d 8h 13m 34s,18245,Lesson,3.3 End of Course Survey,7/31/2019
43,43,43,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,7/31/2019
43,43,43,2301,Beyond the Cloud of Everyday Experience: Brian Greene,58,67,NO,,11/5/2018,39d 3h 16m 6s,2619,Lesson,3.22 String Theory,7/31/2019
43,43,43,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,7/31/2019
43,43,43,11236,Life as the Next Frontier in Physics: Sara Walker,39,45,NO,,3/30/2019,1d 11h 4m 6s,12114,Lesson,3.7 Signatures of Life,7/31/2019
43,43,43,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,3,5,NO,,2/18/2019,15m 22s,14171,Lesson,1.3 Sara Walker QA,7/31/2019
43,43,43,3722,Resources,0,3,NO,,,,,,,7/31/2019
43,43,43,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,7/31/2019
43,43,43,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,7/31/2019
44,44,44,1613,A Beautiful Universe: Cumrun Vafa,56,60,NO,,12/25/2018,14d 19h 25m 54s,5126,Quiz,1.6 Puzzle: Designing a Highway System  Idea Generation,4/12/2019
44,44,44,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,4/12/2019
44,44,44,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,4/12/2019
44,44,44,2301,Beyond the Cloud of Everyday Experience: Brian Greene,67,67,YES,11/25/2018,10/24/2018,31d 18h 17m 25s,3082,Quiz,3.10 Mathematical Dictionary,4/12/2019
44,44,44,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,4/12/2019
44,44,44,11236,Life as the Next Frontier in Physics: Sara Walker,40,45,NO,,3/21/2019,21d 22h 56m 19s,15850,Lesson,What Is Life? Project,4/12/2019
44,44,44,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/10/2019,2/10/2019,16m 31s,13826,Lesson,1.4 Thoughts on Life,4/12/2019
44,44,44,3722,Resources,3,3,YES,9/28/2018,9/28/2018,31m 58s,3789,Lesson,Meet the Scholars,4/12/2019
44,44,44,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,4/12/2019
44,44,44,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,4/12/2019
45,45,45,1613,A Beautiful Universe: Cumrun Vafa,17,60,NO,,12/15/2018,20d 9h 57m 47s,2346,Lesson,1.25 Summary of Mathematical Concepts,3/7/2019
45,45,45,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,3/7/2019
45,45,45,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,3/7/2019
45,45,45,2301,Beyond the Cloud of Everyday Experience: Brian Greene,49,67,NO,,10/23/2018,21d 6h 15m 33s,4713,Quiz,3.18 String Theory,3/7/2019
45,45,45,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,3/7/2019
45,45,45,11236,Life as the Next Frontier in Physics: Sara Walker,0,45,NO,,,,,,,3/7/2019
45,45,45,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/25/2019,2/25/2019,1h 38m 2s,13826,Lesson,1.4 Thoughts on Life,3/7/2019
45,45,45,3722,Resources,0,3,NO,,,,,,,3/7/2019
45,45,45,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,3/7/2019
45,45,45,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,3/7/2019
46,46,46,1613,A Beautiful Universe: Cumrun Vafa,50,60,NO,,12/28/2018,11d 23h 49m 33s,5126,Quiz,1.6 Puzzle: Designing a Highway System  Idea Generation,4/26/2019
46,46,46,15362,A Galactic Mystery: Justin Khoury,0,28,NO,,,,,,,4/26/2019
46,46,46,18818,"Accelerate, Collide, Detect: Barry Barish",0,31,NO,,,,,,,4/26/2019
46,46,46,2301,Beyond the Cloud of Everyday Experience: Brian Greene,25,67,NO,,10/22/2018,63d 2h 51m 1s,2557,Lesson,2.4 Newtonian Gravity,4/26/2019
46,46,46,15609,Einstein's Astrophysical Messengers: Gabriela González,0,31,NO,,,,,,,4/26/2019
46,46,46,11236,Life as the Next Frontier in Physics: Sara Walker,0,45,NO,,3/28/2019,,15850,Lesson,What Is Life? Project,4/26/2019
46,46,46,11233,Life as the Next Frontier in Physics: Sara Walker | Prerequisite Module,5,5,YES,2/21/2019,2/21/2019,53m 19s,13826,Lesson,1.4 Thoughts on Life,4/26/2019
46,46,46,3722,Resources,0,3,NO,,,,,,,4/26/2019
46,46,46,19118,The Early Universe: Matias Zaldarriaga,0,27,NO,,,,,,,4/26/2019
46,46,46,18395,The Universe's Hierarchy: George F.R. Ellis,0,32,NO,,,,,,,4/26/2019
136,136,136,18947,Beyond the Cloud of Everyday Experience: Brian Greene 2019,21,66,NO,,7/26/2019,2d 23h 48m 6s,4713,Quiz,3.18 String Theory,7/26/2019
